,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,1.235568505,0.395842165,0.681944441,neo,NA,NA,NA,NA,NA,NA,NA
2,1.232090137,0.373913524,0.619811403,neo,NA,NA,NA,NA,NA,NA,NA
3,1.234702789,0.538022514,0.906837379,neo,NA,NA,NA,NA,NA,NA,NA
4,1.12773179,0.102881184,0.235214777,neo,NA,NA,NA,NA,NA,NA,NA
5,0.503226509,0.06748674,0.099370895,neo,NA,NA,NA,NA,NA,NA,NA
6,1.224821101,0.195767196,0.31694192,neo,NA,NA,NA,NA,NA,NA,NA
7,1.219991669,0.097158577,0.155661668,neo,NA,NA,NA,NA,NA,NA,NA
8,1.22646925,0.043703801,0.08006764,neo,NA,NA,NA,NA,NA,NA,NA
9,0.044785247,0.004218791,0.014065779,neo,NA,NA,NA,NA,NA,NA,NA
10,1.23086133,0.289599632,0.477532525,neo,NA,NA,NA,NA,NA,NA,NA
11,1.235603744,0.061004521,0.104750434,neo,NA,NA,NA,NA,NA,NA,NA
12,1.23286112,0.073498234,0.130545114,neo,NA,NA,NA,NA,NA,NA,NA
13,0.72091056,0.067163409,0.095492373,neo,NA,NA,NA,NA,NA,NA,NA
14,0.976939146,0.025614138,0.076878526,neo,NA,NA,NA,NA,NA,NA,NA
15,1.235422941,0.091280223,0.158002309,neo,NA,NA,NA,NA,NA,NA,NA
16,1.232324706,0.11212697,0.186072979,neo,NA,NA,NA,NA,NA,NA,NA